781,242.13,63.475
782,242.58,63.567
783,243.03,63.659
784,243.48,63.751
785,243.92,63.843
786,244.37,63.935
787,244.81,64.028
788,245.25,64.12
789,245.68,64.212
790,246.12,64.304
791,246.55,63.819
792,246.98,63.334
793,247.4,62.848
794,247.83,62.363
795,248.25,61.878
796,248.67,61.393
797,249.09,60.907
798,249.5,60.422
799,249.92,59.937
800,250.33,59.452
